City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,dourbali,11.8091,15.8632,70.86,19,24,10.49,TD,2021-01-23 22:44:14,few clouds
1,masalli,34.7959,126.6553,39.2,100,40,2.3,KR,2021-01-23 22:44:14,fog
2,puerto ayora,-0.7393,-90.3518,80.6,74,40,9.22,EC,2021-01-23 22:40:11,scattered clouds
3,srednekolymsk,67.45,153.6833,-28.32,84,100,9.22,RU,2021-01-23 22:42:16,overcast clouds
4,tiksi,71.6872,128.8694,-41.78,79,35,5.03,RU,2021-01-23 22:41:33,scattered clouds
5,vaini,-21.2,-175.2,82.4,83,75,5.75,TO,2021-01-23 22:41:17,light rain
6,jamestown,42.097,-79.2353,21.99,73,90,12.66,US,2021-01-23 22:41:24,light snow
7,ramnagar,29.4,79.1167,53.01,50,0,3.8,IN,2021-01-23 22:44:15,clear sky
8,kazachinskoye,57.6953,93.2761,-1.52,92,100,4.07,RU,2021-01-23 22:41:27,overcast clouds
9,ushuaia,-54.8,-68.3,59.0,41,75,19.57,AR,2021-01-23 22:41:14,light rain
10,albany,42.6001,-73.9662,19.0,50,3,10.0,US,2021-01-23 22:41:13,clear sky
11,nishihara,26.1842,127.7558,66.2,72,75,19.57,JP,2021-01-23 22:44:15,broken clouds
12,nantucket,41.2835,-70.0995,28.4,46,40,17.27,US,2021-01-23 22:37:05,scattered clouds
13,saint george,37.1041,-113.5841,51.01,40,1,2.28,US,2021-01-23 22:41:18,clear sky
14,bethel,41.3712,-73.414,25.0,38,17,14.05,US,2021-01-23 22:41:33,few clouds
15,alta,69.9689,23.2717,8.6,61,90,5.75,NO,2021-01-23 22:44:16,overcast clouds
16,busselton,-33.65,115.3333,62.01,89,69,7.87,AU,2021-01-23 22:41:19,broken clouds
17,caravelas,-17.7125,-39.2481,75.31,82,47,4.94,BR,2021-01-23 22:41:20,scattered clouds
18,hermanus,-34.4187,19.2345,61.0,94,86,12.15,ZA,2021-01-23 22:38:31,overcast clouds
19,am timan,11.0297,20.2827,73.18,21,46,7.05,TD,2021-01-23 22:44:16,scattered clouds
20,bonavista,48.6499,-53.1147,27.0,86,71,9.22,CA,2021-01-23 22:42:08,broken clouds
