City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,78.44,67,6,11.1,PF,2021-01-23 17:47:02
1,egersund,58.4513,5.9997,33.8,93,75,2.3,NO,2021-01-23 17:47:02
2,tynda,55.1667,124.7167,-27.08,82,6,3.18,RU,2021-01-23 17:47:02
3,cabo san lucas,22.8909,-109.9124,69.8,60,75,5.75,MX,2021-01-23 17:47:03
4,daru,-9.0763,143.2092,77.18,88,95,6.82,PG,2021-01-23 17:47:03
5,atuona,-9.8,-139.0333,77.94,79,3,15.99,PF,2021-01-23 17:47:03
6,khonsa,27.0167,95.5667,53.62,85,83,2.57,IN,2021-01-23 17:47:03
7,lavrentiya,65.5833,-171.0,-1.28,87,71,5.95,RU,2021-01-23 17:47:03
8,georgetown,5.4112,100.3354,78.8,89,20,1.3,MY,2021-01-23 17:43:31
9,albany,42.6001,-73.9662,21.99,50,13,13.0,US,2021-01-23 17:47:04
10,tasiilaq,65.6145,-37.6368,14.0,48,20,3.44,GL,2021-01-23 17:47:05
11,lebu,-37.6167,-73.65,65.32,78,50,17.11,CL,2021-01-23 17:45:41
12,cherskiy,68.75,161.3,-25.28,86,100,5.53,RU,2021-01-23 17:46:15
13,longyearbyen,78.2186,15.6401,5.0,78,0,13.8,SJ,2021-01-23 17:47:06
14,brae,60.3964,-1.353,39.2,70,75,9.22,GB,2021-01-23 17:47:07
15,lompoc,34.6391,-120.4579,46.99,93,90,4.61,US,2021-01-23 17:47:07
16,port elizabeth,-33.918,25.5701,71.6,88,40,17.27,ZA,2021-01-23 17:45:46
17,ponta do sol,32.6667,-17.1,62.01,76,100,1.99,PT,2021-01-23 17:46:07
18,shenjiamen,29.9576,122.298,44.04,86,86,17.76,CN,2021-01-23 17:47:07
19,ushuaia,-54.8,-68.3,55.4,54,75,8.32,AR,2021-01-23 17:44:17
20,barrow,71.2906,-156.7887,5.0,78,90,20.71,US,2021-01-23 17:47:08
21,sao joao da barra,-21.6403,-41.0511,86.0,48,40,16.11,BR,2021-01-23 17:47:08
22,mahebourg,-20.4081,57.7,80.6,78,40,3.44,MU,2021-01-23 17:47:09
23,sur,22.5667,59.5289,65.82,62,0,14.63,OM,2021-01-23 17:47:09
24,punta arenas,-53.15,-70.9167,57.2,47,0,36.82,CL,2021-01-23 17:47:09
25,mataura,-46.1927,168.8643,53.01,88,82,5.01,NZ,2021-01-23 17:45:37
26,nikolskoye,59.7035,30.7861,34.0,93,90,6.71,RU,2021-01-23 17:47:10
27,eyl,7.9803,49.8164,75.02,69,77,19.6,SO,2021-01-23 17:47:11
28,bilibino,68.0546,166.4372,-25.17,82,100,2.82,RU,2021-01-23 17:46:52
29,sault sainte marie,46.5168,-84.3333,10.4,72,90,3.44,CA,2021-01-23 17:42:31
30,fujin,47.26,132.0322,3.76,91,0,5.17,CN,2021-01-23 17:47:11
31,butaritari,3.0707,172.7902,79.12,82,56,11.72,KI,2021-01-23 17:47:11
32,ambilobe,-13.2,49.05,75.74,90,58,1.16,MG,2021-01-23 17:47:11
33,sobolevo,54.4299,31.8996,32.83,97,99,9.78,RU,2021-01-23 17:47:12
34,cascais,38.6979,-9.4215,60.01,94,75,18.41,PT,2021-01-23 17:45:08
35,marsa matruh,31.3525,27.2453,59.0,58,0,6.91,EG,2021-01-23 17:43:09
36,naze,28.3667,129.4833,62.74,85,40,10.09,JP,2021-01-23 17:47:12
37,arraial do cabo,-22.9661,-42.0278,89.6,65,0,24.16,BR,2021-01-23 17:47:12
38,cabedelo,-6.9811,-34.8339,86.0,58,75,18.41,BR,2021-01-23 17:47:13
39,benicarlo,40.4165,0.4271,48.0,66,82,1.01,ES,2021-01-23 17:47:13
40,saldanha,-33.0117,17.9442,69.8,73,30,16.11,ZA,2021-01-23 17:47:14
41,vaini,-21.2,-175.2,75.2,100,75,2.3,TO,2021-01-23 17:45:36
42,vila franca do campo,37.7167,-25.4333,64.99,88,40,10.36,PT,2021-01-23 17:47:14
43,kruisfontein,-34.0033,24.7314,75.0,72,51,7.0,ZA,2021-01-23 17:44:43
44,thompson,55.7435,-97.8558,-14.8,76,75,9.22,CA,2021-01-23 17:47:14
45,rio grande,-32.035,-52.0986,84.2,65,40,13.8,BR,2021-01-23 17:44:49
46,katangli,51.7102,143.2326,-4.43,86,55,5.3,RU,2021-01-23 17:47:15
47,hobart,-42.8794,147.3294,57.99,88,56,3.42,AU,2021-01-23 17:43:25
48,saint george,37.1041,-113.5841,46.99,61,1,9.22,US,2021-01-23 17:47:15
