City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2021-01-19 17:05:45,-53.15,-70.9167,62.6,42,20,16.11
1,Bereda,ES,2021-01-19 17:05:45,43.2686,-7.5406,51.01,58,100,15.99
2,Kurayoshi,JP,2021-01-19 17:05:45,35.4333,133.8167,33.8,86,75,4.61
3,Hilo,US,2021-01-19 17:05:45,19.7297,-155.09,68.0,94,90,4.61
4,Jinchang,CN,2021-01-19 17:05:45,38.4953,102.1739,25.14,59,7,2.53
5,Akranes,IS,2021-01-19 17:05:45,64.3218,-22.0749,33.8,75,75,18.41
6,Jamestown,US,2021-01-19 17:05:46,42.097,-79.2353,28.99,80,90,16.11
7,Khandbari,NP,2021-01-19 17:05:46,27.3747,87.2039,54.3,67,99,1.86
8,Westlock,CA,2021-01-19 17:01:18,54.1502,-113.8688,32.0,55,97,10.36
9,Manzhouli,CN,2021-01-19 17:05:46,49.6,117.4333,-4.59,91,85,2.46
10,Satao,PT,2021-01-19 17:05:46,40.7418,-7.7329,55.99,7,100,5.14
11,Zyryanka,RU,2021-01-19 17:05:46,65.75,150.85,-45.8,77,46,4.5
12,Fort Nelson,CA,2021-01-19 17:05:46,58.8053,-122.7002,21.2,93,75,6.91
13,Nanortalik,GL,2021-01-19 17:05:47,60.1432,-45.2371,30.67,86,44,11.88
14,Chokurdakh,RU,2021-01-19 17:05:47,70.6333,147.9167,-37.64,83,17,3.74
15,Tuktoyaktuk,CA,2021-01-19 17:05:47,69.4541,-133.0374,-4.0,77,1,16.11
16,Arraial Do Cabo,BR,2021-01-19 17:05:47,-22.9661,-42.0278,95.0,61,0,14.97
17,Hasaki,JP,2021-01-19 17:05:48,35.7333,140.8333,32.0,51,0,5.75
18,Piacabucu,BR,2021-01-19 17:05:48,-10.4056,-36.4344,84.76,61,19,13.44
19,Bredasdorp,ZA,2021-01-19 17:05:48,-34.5322,20.0403,71.6,60,20,18.41
20,Carnarvon,AU,2021-01-19 17:05:48,-24.8667,113.6333,78.8,89,40,18.41
21,Maumere,ID,2021-01-19 17:05:48,-8.6199,122.2111,76.41,91,100,5.03
22,New Norfolk,AU,2021-01-19 17:05:48,-42.7826,147.0587,45.0,61,21,3.15
23,Kaitangata,NZ,2021-01-19 17:05:49,-46.2817,169.8464,49.08,66,77,15.39
24,Provideniya,RU,2021-01-19 17:05:49,64.3833,-173.3,-10.34,86,91,6.71
25,Kodiak,US,2021-01-19 17:05:49,57.79,-152.4072,24.8,63,1,6.91
26,Labuhan,ID,2021-01-19 17:05:49,-6.8844,112.2051,75.9,92,100,7.56
27,Waw,SS,2021-01-19 17:05:49,7.7029,27.9953,82.22,16,62,5.14
28,Rikitea,PF,2021-01-19 17:02:18,-23.1203,-134.9692,77.95,77,50,15.75
29,Ushuaia,AR,2021-01-19 17:01:10,-54.8,-68.3,57.2,51,20,8.05
30,Acarau,BR,2021-01-19 17:05:50,-2.8856,-40.12,85.77,62,77,16.89
31,San Luis,AR,2021-01-19 17:05:50,-33.295,-66.3356,87.28,18,0,7.65
32,Grindavik,IS,2021-01-19 17:05:50,63.8424,-22.4338,32.0,86,75,21.85
33,Victoria,HK,2021-01-19 17:02:00,22.2855,114.1577,62.01,76,75,1.99
34,Busselton,AU,2021-01-19 17:05:50,-33.65,115.3333,66.63,81,7,5.26
35,Yellowknife,CA,2021-01-19 17:00:51,62.456,-114.3525,9.0,85,90,16.11
36,Seydi,TM,2021-01-19 17:05:51,39.4816,62.9137,48.72,51,0,6.85
37,Hermanus,ZA,2021-01-19 17:05:51,-34.4187,19.2345,71.01,71,12,7.0
38,Ejido,VE,2021-01-19 17:04:00,8.5514,-71.2375,80.13,37,24,6.04
39,Balkanabat,TM,2021-01-19 17:05:51,39.5108,54.3671,47.53,60,43,4.09
40,Cidreira,BR,2021-01-19 17:00:58,-30.1811,-50.2056,76.32,57,1,11.63
41,Saldanha,ZA,2021-01-19 17:05:51,-33.0117,17.9442,75.2,46,0,24.16
42,Wagar,SD,2021-01-19 17:05:52,16.1525,36.2032,71.2,59,0,16.17
43,Kaeo,NZ,2021-01-19 17:02:00,-35.1,173.7833,63.0,91,100,8.84
44,San Patricio,US,2021-01-19 17:05:52,28.017,-97.5169,73.99,73,90,24.16
45,Kenai,US,2021-01-19 17:05:52,60.5544,-151.2583,30.0,74,1,17.27
46,Saint George,US,2021-01-19 17:05:52,37.1041,-113.5841,46.99,39,1,16.11
47,Bluff,NZ,2021-01-19 17:05:52,-46.6,168.3333,46.0,86,100,11.99
48,Muroto,JP,2021-01-19 17:05:52,33.2833,134.15,44.58,70,20,11.01
49,Cape Town,ZA,2021-01-19 17:03:43,-33.9258,18.4232,73.4,53,20,21.85
50,Saint-Philippe,RE,2021-01-19 17:05:53,-21.3585,55.7679,84.2,74,40,5.75
51,Kavaratti,IN,2021-01-19 17:05:53,10.5669,72.642,82.27,66,2,1.52
52,Pochutla,MX,2021-01-19 17:01:27,15.7432,-96.4661,89.01,57,75,3.6
53,Presidencia Roque Saenz Pena,AR,2021-01-19 17:05:53,-26.7852,-60.4388,88.0,36,0,1.99
54,Finschhafen,PG,2021-01-19 17:05:54,-6.6024,147.8681,80.85,79,100,8.08
55,Asau,RO,2021-01-19 17:05:54,46.4333,26.4,19.99,86,66,8.05
56,Jaynagar-Majilpur,IN,2021-01-19 17:05:54,22.1758,88.4178,68.0,88,56,7.36
57,Avarua,CK,2021-01-19 17:05:54,-21.2078,-159.775,82.4,78,20,5.75
58,Buribay,RU,2021-01-19 17:05:54,51.9617,58.1592,6.15,94,100,7.18
59,Kouango,CF,2021-01-19 17:05:54,4.9934,19.9619,86.22,16,3,0.4
60,Shelburne,CA,2021-01-19 17:05:54,44.0787,-80.2041,33.01,90,60,15.46
61,Tasiilaq,GL,2021-01-19 17:05:55,65.6145,-37.6368,15.8,73,20,10.36
62,Vaini,TO,2021-01-19 17:05:55,-21.2,-175.2,73.4,100,40,2.3
63,Ilulissat,GL,2021-01-19 17:05:55,69.2167,-51.1,21.2,68,75,1.14
64,Pevek,RU,2021-01-19 17:05:55,69.7008,170.3133,-28.64,86,100,3.98
65,Meulaboh,ID,2021-01-19 17:05:56,4.1363,96.1285,76.51,87,99,4.47
